train/n_updates,train/ent_coef,train/actor_loss,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,eval/ep_b1_std,eval/ep_nodes_above_threshold,eval/ep_pressure_obj_mean,eval/ep_nodes_below_threshold,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b1_mean,eval/ep_timesteps_below_zero,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_nodes_below_zero
,,,584,48.0,28032,20.674971799999998,,473,59,,,,,,,,,,,,,,,
3539,0.009999999776482582,-5.968783378601074,588,48.0,28416,20.760986620000004,1.2302676439285278,474,59,0.003,,,,,,,,,,,,,,
,,,592,48.0,28416,20.760986620000004,,474,59,,,,,,,,,,,,,,,
3587,0.009999999776482582,-6.236082553863525,596,48.0,28800,20.84898559,1.0164741277694702,473,60,0.003,0.06985070804819235,0.0,0.9846491228070176,0.015037593984962405,0.07750327874955294,0.7024599730621446,0.6463071398763379,0.058971906594242236,0.10079896321231818,0.839807876727601,0,0.19556716843146435,0.893883871605364,0.0
,,,600,48.0,28800,20.84898559,,473,60,,,,,,,,,,,,,,,
3635,0.009999999776482582,-6.277504920959473,604,48.0,29184,20.92492722,0.7585896253585815,474,61,0.003,,,,,,,,,,,,,,
,,,608,48.0,29184,20.92492722,,474,61,,,,,,,,,,,,,,,
3683,0.009999999776482582,-6.264965057373047,612,48.0,29568,20.965840510000003,0.784706711769104,475,62,0.003,,,,,,,,,,,,,,
,,,616,48.0,29568,20.965840510000003,,475,62,,,,,,,,,,,,,,,
3731,0.009999999776482582,-6.290409088134766,620,48.0,29952,21.059476399999998,0.702140212059021,474,63,0.003,0.08340539454060635,0.0,0.9945175438596491,0.0053705692803437165,0.03798357034142275,0.49898790859625203,0.626166743188694,0.09079043932065275,0.1272350889921014,0.8514740262367975,0,0.2304660122912602,0.8859738000182881,0.0
,,,624,48.0,29952,21.059476399999998,,474,63,,,,,,,,,,,,,,,
3779,0.009999999776482582,-6.503092288970947,628,48.0,30336,21.145303769999995,0.5575474500656128,475,63,0.003,,,,,,,,,,,,,,
,,,632,48.0,30336,21.145303769999995,,475,63,,,,,,,,,,,,,,,
3827,0.009999999776482582,-6.4289116859436035,636,48.0,30720,21.082565759999998,0.75040602684021,475,64,0.003,0.07739224857258233,0.0,1.0,0.0,0.0,0.515228459143482,0.6123024302026251,0.08268193381414851,0.12010766612110321,0.8688173624589206,0,0.22889401635547219,0.8832204133261631,0.0
,,,640,48.0,30720,21.082565759999998,,474,64,,,,,,,,,,,,,,,
3875,0.009999999776482582,-6.696246147155762,644,48.0,31104,21.117230580000005,0.31434106826782227,476,65,0.003,,,,,,,,,,,,,,
,,,648,48.0,31104,21.117230580000005,,476,65,,,,,,,,,,,,,,,
