train/learning_rate,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/time_elapsed,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_pressure_obj_mean,eval/ep_timesteps_below_zero,eval/ep_b1_mean,eval/ep_pressure_obj_std,eval/ep_nodes_below_zero,eval/ep_b3_std,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_nodes_below_threshold,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_b2_mean
,,479,21.644014140000003,57600,,1200,,48.0,,120,,,,,,,,,,,,,,
0.003,-8.670812606811523,479,21.63436374000001,57984,0.02085117995738983,1204,0.009999999776482582,48.0,7235,120,,,,,,,,,,,,,,
,,479,21.63436374000001,57984,,1208,,48.0,,120,,,,,,,,,,,,,,
0.003,-9.030421257019043,480,21.642518629999998,58368,0.006109928712248802,1212,0.009999999776482582,48.0,7283,121,,,,,,,,,,,,,,
,,480,21.642518629999998,58368,,1216,,48.0,,121,,,,,,,,,,,,,,
0.003,-8.425524711608887,479,21.636876220000005,58752,0.00395151088014245,1220,0.009999999776482582,48.0,7331,122,0.8623102809354617,0.2867149610627928,1.0,0,0.8524164328424986,0.0,0.0,0.1081074609038959,0.6567633242097229,0.12658521794878436,0.0,0.0,0.09734263910013083,0.643520541761765
,,479,21.636876220000005,58752,,1224,,48.0,,122,,,,,,,,,,,,,,
0.003,-8.61945629119873,480,21.644286260000005,59136,0.00284455344080925,1228,0.009999999776482582,48.0,7379,123,,,,,,,,,,,,,,
,,480,21.644286260000005,59136,,1232,,48.0,,123,,,,,,,,,,,,,,
0.003,-8.820503234863281,479,21.665740920000005,59520,0.004180225543677807,1236,0.009999999776482582,48.0,7427,124,0.8517500287069,0.28471641851017104,1.0,0,0.873377926704417,0.0,0.0,0.11303956831082762,0.6400011835941307,0.12047244859564092,0.0,0.0,0.07281122718479668,0.696405662382298
,,479,21.665740920000005,59520,,1240,,48.0,,124,,,,,,,,,,,,,,
0.003,-8.730440139770508,480,21.660219270000006,59904,0.003638733411207795,1244,0.009999999776482582,48.0,7475,124,,,,,,,,,,,,,,
,,480,21.660219270000006,59904,,1248,,48.0,,124,,,,,,,,,,,,,,
